id	name	other_data
21039	Carlisle	State
21041	Carroll	State
21043	Carter	State
21045	Casey	State
21047	Christian	State
21049	Clark	State
21051	Clay	State
21053	Clinton	State
21055	Crittenden	State
21057	Cumberland	State
21059	Daviess	State
21061	Edmonson	State
21063	Elliott	State
21065	Estill	State
21067	Fayette	State
21069	Fleming	State
21071	Floyd	State
21073	Franklin	State
21075	Fulton	State
21077	Gallatin	State
21079	Garrard	State
21081	Grant	State
21083	Graves	State
21085	Grayson	State
21087	Green	State
21089	Greenup	State
21091	Hancock	State
21093	Hardin	State
21095	Harlan	State
21097	Harrison	State
21099	Hart	State
21101	Henderson	State
21103	Henry	State
21105	Hickman	State
21107	Hopkins	State
21109	Jackson	State
21111	Jefferson	State
21113	Jessamine	State
21115	Johnson	State
21117	Kenton	State
21119	Knott	State
21121	Knox	State
21123	Larue	State
21125	Laurel	State
21127	Lawrence	State
21129	Lee	State
21131	Leslie	State
21133	Letcher	State
21135	Lewis	State
21137	Lincoln	State
21139	Livingston	State
21141	Logan	State
21143	Lyon	State
21145	McCracken	State
21147	McCreary	State
21149	McLean	State
21151	Madison	State
21153	Magoffin	State
21155	Marion	State
21157	Marshall	State
21159	Martin	State
21161	Mason	State
21163	Meade	State
21165	Menifee	State
21167	Mercer	State
21169	Metcalfe	State
21171	Monroe	State
21173	Montgomery	State
21175	Morgan	State
21177	Muhlenberg	State
21179	Nelson	State
21181	Nicholas	State
21183	Ohio	State
21185	Oldham	State
21187	Owen	State
21189	Owsley	State
21191	Pendleton	State
21193	Perry	State
21195	Pike	State
21197	Powell	State
21199	Pulaski	State
21201	Robertson	State
21203	Rockcastle	State
21205	Rowan	State
21207	Russell	State
21209	Scott	State
21211	Shelby	State
21213	Simpson	State
21215	Spencer	State
21217	Taylor	State
21219	Todd	State
21221	Trigg	State
21223	Trimble	State
21225	Union	State
21227	Warren	State
21229	Washington	State
21231	Wayne	State
21233	Webster	State
21235	Whitley	State
21237	Wolfe	State
21239	Woodford	State
22000	Louisiana	State
22001	Acadia	State
22003	Allen	State
22005	Ascension	State
22007	Assumption	State
22009	Avoyelles	State
22011	Beauregard	State
22013	Bienville	State
